id,smiles,formula,charge
cpd00214,CCCCCCCCCCCCCCCC(=O)[O-],C16H31O2,-1
cpd00215,Cc1ncc(CO)c(C=O)c1O,C8H9NO3,0
cpd00216,C=C(O[C@@H]1C=C(C(=O)[O-])C=C[C@H]1O)C(=O)[O-],C10H8O6,-2
cpd00217,OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C12H22O11,0
cpd00218,O=C([O-])c1cccnc1,C6H4NO2,-1
cpd00219,O=C([O-])C(=O)C[C@]1(C(=O)[O-])C=C[C@@H](O)C=C1,C10H8O6,-2
cpd00221,C[C@@H](O)C(=O)[O-],C3H5O3,-1
cpd00222,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,C6H11O7,-1
cpd00223,O=C([O-])[C@H](O)CO,C3H5O4,-1
cpd00224,OC1OC[C@H](O)[C@H](O)[C@H]1O,C5H10O5,0
cpd00225,O=Cc1ccccc1,C7H6O,0
cpd00226,O=c1[nH]cnc2[nH]cnc12,C5H4N4O,0
cpd00227,[NH3+][C@@H](CCO)C(=O)[O-],C4H9NO3,0
cpd00228,O[C@@H](CS)[C@@H](O)CS,C4H10O2S2,0
cpd00229,O=CCO,C2H4O2,0
cpd00231,C[C@H](O)[C@H](O)[C@H]1CNC2=NC(N)=NC(=O)C2=N1,C9H13N5O3,0
cpd00232,CC(=O)N[C@@H]1[C@@H](O)CC(O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO,C11H18NO9,-1
cpd00233,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,C9H15N5O3,0
cpd00234,O=C(CO)[C@@H](O)[C@H](O)C(=O)CO,C6H10O6,0
cpd00235,O=P([O-])([O-])OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,C6H11O9P,-2
cpd00236,O=C[C@H](O)[C@H](O)COP(=O)([O-])[O-],C4H7O7P,-2
cpd00237,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,C19H26O2,0
cpd00238,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],C7H13O10P,-2
